iter	Passed	Remaining
0	54	54801
1	60	30038
2	65	21763
3	71	17753
4	77	15419
5	84	13944
6	90	12876
7	95	11903
8	102	11324
9	110	10961
10	116	10508
11	122	10047
12	127	9701
13	132	9307
14	136	8977
15	140	8659
16	144	8376
17	150	8218
18	154	8001
19	159	7797
20	163	7607
21	167	7462
22	172	7320
23	177	7209
24	181	7070
25	185	6949
26	189	6845
27	195	6778
28	199	6694
29	204	6614
30	209	6547
31	213	6466
32	218	6393
33	222	6327
34	226	6255
35	230	6181
36	234	6115
37	239	6068
38	244	6019
39	248	5953
40	253	5922
41	257	5875
42	261	5831
43	266	5791
44	271	5767
45	276	5732
46	281	5702
47	286	5679
48	292	5672
49	298	5663
50	303	5641
51	307	5603
52	311	5562
53	316	5537
54	321	5522
55	325	5487
56	329	5453
57	334	5433
58	341	5447
59	348	5453
60	353	5447
61	358	5430
62	362	5397
63	366	5366
64	371	5349
65	376	5323
66	381	5307
67	385	5288
68	390	5272
69	396	5263
70	401	5249
71	406	5236
72	410	5216
73	415	5195
74	419	5179
75	424	5161
76	429	5144
77	434	5135
78	439	5123
79	444	5108
80	448	5091
81	453	5077
82	457	5055
83	462	5040
84	467	5029
85	471	5016
86	476	4999
87	480	4983
88	486	4982
89	491	4966
90	496	4955
91	501	4945
92	505	4932
93	510	4924
94	516	4918
95	521	4908
96	525	4894
97	530	4886
98	536	4882
99	540	4867
100	544	4849
101	550	4844
102	554	4833
103	559	4820
104	564	4813
105	570	4808
106	574	4792
107	578	4778
108	583	4770
109	590	4773
110	596	4775
111	602	4775
112	607	4770
113	611	4755
114	616	4742
115	621	4734
116	625	4723
117	631	4718
118	636	4715
119	640	4699
120	645	4692
121	650	4679
122	654	4669
123	658	4655
124	664	4649
125	669	4644
126	673	4632
127	678	4625
128	684	4620
129	688	4608
130	692	4593
131	697	4585
132	701	4574
133	706	4565
134	711	4557
135	716	4548
136	719	4535
137	723	4521
138	727	4509
139	732	4497
140	736	4486
141	741	4477
142	746	4471
143	751	4467
144	755	4456
145	759	4443
146	764	4437
147	768	4426
148	773	4415
149	778	4409
150	783	4405
151	788	4398
152	794	4396
153	799	4389
154	804	4384
155	808	4376
156	813	4367
157	817	4356
158	822	4347
159	826	4340
160	831	4333
161	836	4327
162	842	4326
163	849	4328
164	853	4319
165	858	4312
166	863	4307
167	868	4299
168	872	4290
169	877	4285
170	882	4277
171	886	4267
172	891	4262
173	896	4257
174	901	4250
175	906	4243
176	912	4242
177	917	4235
178	922	4229
179	926	4221
180	930	4212
181	935	4202
182	940	4198
183	945	4191
184	948	4180
185	953	4172
186	957	4164
187	962	4156
188	966	4147
189	970	4137
190	974	4129
191	979	4121
192	984	4114
193	989	4111
194	995	4108
195	999	4099
196	1004	4094
